Stream ,Station Name,Latitude,Longitude,Altitude
Cave Creek,Portal Post Office,31.91208,-109.141906,1400
Cave Creek,Ranger Station,31.903599,-109.155143,1500
Cave Creek,Sunny Flat,31.884489,-109.175253,1560
Cave Creek,Research Station,31.882583,-109.206212,1650
Cave Creek,John Hands,31.878734,-109.221683,1700
Cave Creek,Herb Martyr,31.872352,-109.234273,1770
Cave Creek,Station 9,31.862306,-109.243622,1790
Cave Creek,Station 10,31.85545,-109.260325,1900
East Turkey,Flintstone,31.916937,-109.23426,1960
East Turkey,The Grade,31.923849,-109.223278,1860
East Turkey,Chell Shack,31.934586,-109.217669,1790
West Turkey,Bear sign,31.849476,-109.325606,2000
West Turkey,Sycamore,31.859131,-109.334534,1900
West Turkey,White House,31.864577,-109.353753,1840
West Turkey,Low Bridge,31.868307,-109.375041,1810